Nottingham,NOT
London St Pancras (Intl),SPX
Manchester Airport,MIA
Manchester Oxford Road,MCO
Manchester Piccadilly,MAN
Manchester United Football Ground,MUF
Manchester Victoria,MCV
Queens Park (London),QPW
Richmond (London),RMD
St Johns (London),SAJ
St Margarets (London),SMG
Stratford (London),SRA
Streatham (Greater London),STE
Sydenham (London),SYD
Sydenham (London),SYD
Whitton (London),WTN
Lee (London),LEE
London Blackfriars,BFR
London Bridge,LBG
London Cannon Street,CST
London Charing Cross,CHX
London Euston,EUS
London Fenchurch Street,FST
London Fields,LOF
London Kings Cross,KGX
London Liverpool Street,LST
London Marylebone,MYB
London Paddington,PAD
London Road (Brighton),LRB
London Road (Guildford),LRD
London St Pancras (Intl),SPX
London St Pancras International,STP
London Victoria,VIC
London Waterloo,WAT
London Waterloo East,WAE
Kettering,KET
Wellingborough,WEL
Loughborough,LBO
Loughborough Junction,LGJ
Leicester,LEI
Market Harborough,MHR
Beeston,BEE
Attenborough,ATB
Long Eaton,LGE
Bedford,BDM
Luton,LUT
Luton Airport Parkway,LTN
